a01-000x-04	and he is to be backed by Mr. Will Griffiths ,
a01-007u-02	sentiment would still favour the abolition
a01-007u-06	Nationalist Parties of Northern Rhodesia
a01-007u-07	have agreed to get together to face
a01-011-04	violently opposed to Africans getting an elected majority
a01-011x-02	and Mr. Harry Nkumbula's African National
a01-011x-07	Rhodesia , but the Colonial Secretary , Mr. Iain
a01-014u-07	a report on his talks with Mr. Macmillan
a01-038-08	quers last week-end . They said they
a01-038x-05	Sir Roy's representative , Mr. Julius Greenfield . He was
a01-049-01	off the opposition by telling a television
a01-049-04	The Senate Banking Committee , which is headed
a01-049u-09	Robertson later disclosed he had sent a letter
a01-049x-05	is headed by another Southern Senator -
a01-053-01	alleged association with organisations black-
a01-053-04	Robertson saying the Federal Bureau of In-
a01-053u-01	alleged association with organisations black-
a01-058u-01	over West Germany's cash offer to help
a01-058u-08	Adenauer , the West German Chancellor .
a01-077-06	Russia in missile power . He said he
a01-087-04	ment - and ended by inciting Labour M Ps
a01-107-03	"never were . "" Interrupted by angry Tories , Mr. Brown retorted :"
a01-113u-06	it was Labour which first put a ceiling
a01-117u-02	to make it in 1950 . And as a percentage
a01-132-05	claimed was underpinning - not
a01-132x-06	for welfare , Mr. Powell said that all these
a02-004-09	Commonwealth Governments every facility possible to
a02-042-05	police and 16 armoured cars . And how did the
a02-078-04	Party was a monster as vicious as the Zambia
a02-116-05	his 61-year-old wife were each jailed for
a03-009-05	sphere ; and it is not difficult to see that President
a03-030-00	In some ways it will be a testing occasion
a03-040-06	Conservatives and 12 per cent for the C.C.F. ) .
a03-054-07	ernment in recent sessions , he is
a03-063-04	interested in the principle of space research , but rather
a03-071-05	"and not merely constitute a "" prestige """
a03-089-00	This is expected eventually to replace the
a04-000-01	on Mr. Harold Macmillan to join the
a04-010-07	broadcast and television report on his
a04-023-03	times yesterday . In PARIS , Mr. Dean Rusk , U.S. Secretary of
a04-050-00	Mr Gaitskell said that a member of an alliance could
a04-054-01	So long as the Soviet Union had nuclear weapons ,
a04-072-05	was the beginning of a great period of
a04-072-10	and other major questions , Mr. Jack Cooper
a05-013-04	of Defence , is still correct . This was to
a05-053-01	to do so and to recall Parliament . But
a05-062-02	the Earl of Avon , the former Sir Anthony
a05-062-04	of Lords last night , gave a warning
a05-062-08	the surest way to avert it .
a05-094-02	"the Rugby match in "" Tom Brown's Schooldays , """
a05-094-09	golf-course Press conference , which he
a05-104-03	condemning the new Russian tests , but
a05-116-07	series of heavy sighs . Sir Lynn Ungoed-
a05-116-08	Thomas , M.P. for Leicester N.E. , a former
a06-014-09	""" commit suicide "" at the TUC's"
a06-020-01	"ETU. In reply to the call for his resignation he said : "" Our rules"
a06-070-00	As Mr. Macmillan made his announcement , the
a06-075-00	""" After long and earnest consideration , Her"
a06-090-00	He claimed that , unless we were in the
a06-128-09	"that the problem "" must be solved"
a06-147-05	contingency would be to sign a peace treaty to remove the cancerous
a06-152-07	cross into West Berlin's reception centre
a06-152-10	3,000 a day .
b01-009-03	holds that it would be a mistake to expel
b01-044-00	Booming Germany is deliberately encouraging more imports
b01-057-08	would prefer to put our hopes for earthly justice in
b01-062-06	deeply repugnant to our readers , it is right to
b01-073-04	would be taken home . The reaction can be
b01-079-06	right to blame the politicians unless they see
b01-079-09	prevent civil war , it was clear that new dangers
b01-113-04	really believes . A good neighbour to those Africans
b02-013-07	disposed to face . The real question is
b02-097-03	and decisive ones ; but without it , we could not
b03-098-02	ratures will be put in the ring together .
b03-104-08	any reason why the centigrade countries
b03-109-07	suit their convenience - rather than to change their
b04-000-02	storm . Belgium is accused - without a
b04-004-01	has done more than most to stir up
b04-128-06	their faith with cash .
b04-134-00	For expansion today means still greater
b04-134-02	the 88-year-old standard bearer of the Ban-
b04-147-03	has been appointed to smooth out difficulties for
b04-169-03	when they get it . Now a survey of the Post
b04-175-08	understand the meaning of free trade .
b04-202-00	The older universities are often accused of being
b05-032-03	we knew it all , but you Britishers never run
b05-032-09	hope of improving the lot of his fellow workers , taken
b05-042-03	explanatory TV pictures , into becoming a highly
b05-062-00	"He feels satisfaction "" from the fact that my personality had been"
b05-079-08	"Continent . "" The Baltic States were"
b05-083-03	of Eichmann would have been as good as their
b05-088-05	A young chap I know got his first job last week . He
b05-098-09	"of "" Abou Ben Adhem . """
b06-004-01	"ment in the air would be jeopardised . "" When"
b06-008-01	Herr Strauss , started talks with the British
b06-012-02	Europe through the Common Market . He continued this week
b06-015-09	the British Government has
b06-045-06	down # unambiguous alternatives to
b06-053-01	if we have then by our practice
b06-053-06	basic effort to improve living
b06-056-00	They obstructed every effort to fight for the
b06-064-06	how and why the trick was done ,
b06-068-05	to rush Britain into the European Common
b06-075-06	convenience . Unity can never be established by
b06-079-03	bases , but are in favour of German bases and
b06-090-02	present Tory Government , which has become a
c01-009-03	survey of a life work . P. J. K. HANS WERNER
c01-014-07	intervals , and the result is often less delineation
c01-066-05	to light a great deal of discreditable
c02-000-00	AFTER ten days of intermittent , near fatal
c02-000-09	can be counted on the fingers of one
c02-007-00	In 1950 he began to take photographs not
c02-012-01	colouring must be eliminated . He does not
c02-012-04	"every instant . "" The chilling horror of "" Mala-"
c02-017-07	But Father Malachias's troubles have only
c02-049-08	and personal jokes incomprehensible to the
c02-059-08	film . Gifted with an interesting face , although little
c03-000f-06	advantages to be derived from this unity
c03-003d-00	This is not a filmed play . It has been conceived
c03-003e-02	and again and again it is the visual qualities
c03-007a-06	""" sacred to the memory of "" - are seen as an"
c03-007d-07	"to the memory of "" - are seen as an"
c03-007f-05	the rubbish strewn canals - even the worn
c03-016c-03	slatternly , promiscuous mother . In such
c03-016e-02	girl lives in a single dingy room with her
c03-016e-06	first time herself it is incoherently ,
c03-021f-03	moved by a strong maternal instinct to
c03-021f-04	the unborn child as much as to the
c03-081e-00	Arguably , the dramatist has committed a
c03-081e-05	not heard . However , Miss Pinkie Johnstone
c03-084b-02	of Betti's writing without over-emphasizing
c03-084b-03	"them . Last night's play in the "" Play of the"
c03-084e-05	Fall , by Mr. Paul Ferris , was a morality on
c03-084e-06	the not unfamiliar theme of the destructive
c03-087b-01	treatments of its subject by attempting to
c03-096a-00	Only Mr. Lucas's actions , therefore , arose
c04-004-02	Hollywood . His American bosses , 20th-Century Fox , have
c04-056-04	of his trousers . The action moved at tremendous
c04-075-06	enough tacks and he got only the middle hammers done .
c04-105-06	record , the modern Aladdin's lamp of
c04-156-01	part . The rest of the cast were well chosen ,
c04-170-00	Shelagh Delaney and Alan Sillitoe attacked
c06-011-01	arrived two hours earlier by appointment
c06-011-07	other chums sniffing the wind and
c06-014-06	above Nancy Mitford artistically , a
c06-020-05	"unless I 'm exceedingly 2skint . "" But I 'll"
c06-052-02	I have before me now a 12,000-word manuscript of
c06-083-01	2e-and-nightie ensembles not too well designed for sleeping in ,
c06-087-02	with tradition and arrives there in July , when , just as
c06-128-03	20-month-old Charles Jun. was sleeping .
d01-080-05	the opinion that in the original of the Fourth Gospel
d04-012-00	The word Shamir was used as a
d04-012-10	word of God .
d04-032-06	the Light which can be read in every
d04-037-01	shall come to pass , if 1ye shall 1hearken
d04-037-03	you this day , to love the Lord your God , and to
d04-071-02	""" That your days may be multiplied and the"
d04-081-01	means in the day-time ; all the days of
d04-096-01	the salt-water at the Seder-Table represents the Covenant of the Torah
d04-121-02	really interrogations to examine into the principles of the four re-
d05-008-07	derived little comfort from it .
d05-013-05	to the Catechism following ' were added . But Confirmation
d06-008-02	unable to speak about it to anybody and
d06-008-06	agree with a child that a particular
d06-025-02	Was this : That a secret plan Is hid in
d06-025-06	secret plan , Of the things He will
d06-037-04	to understand this a little better when we
d06-050-00	Nor is she necessarily being deceitful . She really did feel tired
d06-050-05	of fatigue . They wonder why they get no rest at night ,
d06-072-09	and to do so inevitably builds up tensions which
d06-096-08	the pressure on over-crowded trains .
d06-104-01	day week so that in the first week
d06-104-04	Monday was day six and Tuesday
d06-104-07	week being the same with a pupil
d06-111-00	I would not want to either , but if she wants to get through
d07-085-07	with the comment given by Samuel .
e01-025-01	art . It suffered a decline and fell into
e01-050-01	amount of crochet was produced in the
e01-107-09	from the directions included in this book .
e02-014-03	as before . It is unnecessary to mark the taper with
e02-086-03	a man to make simple , straight-forward things , and in
e02-091-03	includes the bare minimum kit ) .
e04-000-02	commercial articles , this chair is solidly built and
e04-019-00	The amount of the backward tilt and
e04-034-04	woodfiller in the usual way and paint the frame in
e04-043-00	Here are the plans of a very seaworthy little
e04-068-01	rowing this dinghy ( Fig. 3 ) . They are very simple , cheap
e04-079-00	Cut the moulds and the
e04-086-04	prefer spruce when available . As will be seen
e04-091-00	The chines are morticed into this and butt up
e04-103-03	round the frame to the stern and clamp there . If
e06-003-04	are also closely related to the sea-bed
e06-010-03	in the shallower water the mile wide layers disappear from the
e06-015-01	and fishing gear leads to an overall
e06-021-03	that find it if enough are travelling , just as
e06-033-03	ward , the length of half a fleet of nets -
e06-046-03	through or along the bottom . ) But given such a bow
e06-049-04	aware of the moving footrope before
e06-053-01	the seine-net film this usually seemed to
e06-070-02	small , a matter of a foot or two . With round
e07-007-03	sale being by the gallon . Praying mantis ( Mantis
e07-066-07	and the latest report I have is that
e07-090-06	for the larger sizes , so they have the
e07-105-00	Many amateur gardeners might improve their
e07-108-08	plants grow quite well in plastic pots and
f01-070-01	"picture of this "" basis "" of mental phenomena ?"
f01-085-05	concrete it will be at the cost of over-simplification
f01-135-05	They think there is something
f01-139-05	nowadays most psychologists would agree that it is
f01-139-06	one of the most unreliable methods of getting
f02-020-02	resort hotel , includes an address on ' The Woman's Point
f02-033-04	an Employee Relations Officer of
f02-040-09	of psychology , education and social science ; ... .
f04-011-09	one of whom lived at Hammersmith and the
f04-024-07	killer to book in modern times .
f04-049-05	join the Army ( presumably feeling that a moustache might enhance
f04-049-06	his military bearing ) , and this was accepted .
f04-064-03	immersion in gloom , and the clash of reverberated
f07-009-03	for nourishment , the instinct of hospitality has
f07-019b-06	of gorging the eye with magnitude ,
f07-021b-02	Britons , I believe , used to make water hot
f07-024b-01	known any way of cooking meat
f07-028b-08	sense alone . Having exhausted their invention
f07-028b-09	in the preparation of stimulants for the
f07-042a-01	a delicacy . The visitor is told that
f07-046a-05	and the Chinese . The Celestials , apart
f07-076a-00	The Czechoslovak kitchen , again , is
f07-081b-06	things that are typically French .
f07-088a-02	as well as the foods for which they have
f07-088a-06	intellectual faculties . Bunyan's break-
f07-101b-04	ask if his guest would have a cup of tea !
g01-012-03	even despised failure . The ' ribald ' Londoners , who
g01-012-04	Hawley , were also expressing their disappointment
g01-031-08	and the vague advantages of military glory ;
g01-070-03	In the following year , 1380 , the last and
g01-074-09	baronage with rarer luxuries than those
g02-073-05	reluctantly and with an effort . '
g03-004-01	dously hard work was if anything intensified . George used to
g03-049-01	to those of parsons he got on wonderfully well
g03-064-07	he was a keen member of the B.S.P. .
g04-043-04	had been a House of Prayer . I could not but feel the
g04-048-00	I suggested to the congregation that it needed
g04-088-04	the superintendent who filled in the regi-
g04-088-05	ster at her own home . Each child had a
g04-095-02	lasting friendship begun in 1913 in Purley and
g04-095-06	and his family , the youngest of whose three
g04-104-02	The Bishop , knowing that I spent my holidays in
g04-104-03	Bavaria , asked me if I would do something for two wards
g06-011c-04	resource . Vesuvius seems to be tired ; he is going
g06-011c-06	a busy town . At Rome , every other man was a
g06-011i-05	lively people , and what a busy town . At Rome , every other
g06-011r-00	By the end of the month he still delighted in Naples .
g06-018b-04	but hoped , he told Arthur , ' to find
g06-018p-01	England , and returned to Rome for the winter . In
g06-026d-00	A pleasant life # truly ! ... It so happens that I have
g06-026e-05	Duke of Wellington .
g06-026f-03	heard of the fall of the Whigs , and the temporary assumption
g06-026i-02	that ever was . But he has not one word of English . '
g06-026j-00	A pleasant life truly ! ... It so happens that
g06-026o-05	heard of the fall of the Whigs , and
g06-031b-04	but fear that the exasperation of
g06-031c-06	must be had , will be a mass of Radicalism , & then
g06-031h-02	tremble for my country ! I may be mistaken ,
g06-031k-06	a dissolution , which must be had , will be a
g06-031n-04	1tho' I cannot but fear that the
g06-031o-05	exasperation of the People will be so
g06-031o-06	great at the return of Ultratoryism ,
g06-037c-00	God grant , however , that I may be a false prophet
g06-037d-07	to which he had been subjected ever since the symp-
g06-037j-03	him off yesterday . '
g06-037l-05	an effective alleviation of his painful malady . None
g06-037n-06	of Anglesey's unceasing search for
g06-042d-00	Nor is this to be wondered at , for even today , in the
g06-042f-02	1830 , when Anglesey believed himself to be on the point of death ,
g06-042l-03	on the point of death , the new German curative method
g06-045b-06	he himself was being treated under a
g06-045j-00	In April of that year his first wife's brother-
g06-045n-06	Italy , and that he himself was being
g06-045o-07	a doctor who had studied under
g06-045p-03	extraordinary success in France and Italy , and that he
g06-047e-01	described to Anglesey a year or two later as ' more like a God
g06-047i-00	This remarkable man of medicine , whom Sir Francis
g06-047m-00	This remarkable man of medicine , whom Sir
g06-047o-02	a year or two later as ' more like a God
g06-047p-05	Dr Giuseppe Mauro , whom Anglesey consulted in
g06-050a-03	and his symptoms . He told Hahnemann that he
g06-050c-06	and sedate , not easily irritated , patient and
g06-050h-07	to despair of ever being cured . '
g06-050j-05	man with a gentle and charming character ,
g06-050k-02	for advice . In doing so he described his
g06-050k-05	strong , energetic man with a gentle and
g06-050o-02	asking for advice . In doing so he descri-
g06-050p-06	' but he appears to despair of ever being cured . '
g06-050r-01	"at Ko""then , near Leipzig , asking for advice . In doing"
g06-050r-03	symptoms . He told Hahnemann that he found Anglesey
g06-101-00	' I remain , dear Melbourne , faithfully yours , ' ANGLESEY '
g07-000b-04	body to return to England than that course was
g07-007b-01	Shelley , Trelawny implies that not only Gamba but Fletcher
g07-007b-05	the Pilgrim had most treasured , scattered on the floor , -
g07-010b-02	destination had seemed slight . The collection of Pietro
g07-014-03	Sidney Osborne , and his inventory has been
g07-018a-00	It may have been then that Trelawny contrived to do
g07-018a-10	deeply he had disapproved , less than two years
g07-022a-03	Count Gamba - which was very distressing
g07-026a-02	he had betrayed her , but again and again
g07-026b-03	fawning on his implacable wife , purveying to her
g07-034-03	its most sentimental form . While he lived
g07-042-08	a drunkard and perhaps a suicide , hiding
g07-069a-00	He had gone to Byron's cousin , now 7th
g07-069a-05	examined by the relatives and friends of
g07-084-05	consider the most prominent subject in your letter , the more
h01-004-02	been married . It was not regarded as practicable within
h01-004-05	in the specialised enquiry for the Royal Commission .
h01-010-01	in the size and pattern of families for successive
h01-014-00	Each census since the first in 1801 has included questions
h02-004-00	We have held eleven meetings . We decided as a
h02-012-01	an Interim Report . This dealt with two questions
h02-043-05	been included in the Memorandum on
h02-043-08	for the information of doctors and
h04-000-02	several children than in those with only ,
h04-007-02	children and those with one child , and much smaller
h04-021-06	compares the prices paid by different types of household
h04-049-02	of sugar and of preserves , but in all other types of
h04-061-08	income with the family households , so that differences
h04-071-01	but rose in 1957 when the subsidy on welfare and national dried
h04-071-02	milk was reduced ; since 1957 it has again declined . Most of the
h04-082-06	and they purchased more of certain foods such as fish ,
h06-000-00	To provide fuller information about certain types of
h06-003-06	the numbers of occurrences reported occurred in the
h06-079-03	electronic equipment with a sensitive probe
h07-017-00	The following table indicates the size of the
h07-023-01	development corporations the proportion of
h07-028a-01	varies , the smaller towns tending to rely
h07-030-03	shopping area to companies
h07-030-06	the building and letting of the
h07-033-06	Timing has proved an important
h07-033-09	provide a living for the traders
h07-040-09	cost of town centre development has
h07-044a-07	drainage , main roads and other special
h07-060b-03	designed to meet the needs of particular organisations ,
h07-071a-09	be particularly important in the new towns .
h07-075a-03	For short periods over the years some of the London
j04-039-03	was complete under these conditions ; but when the tracer
j04-080-03	include : together with their lead parents .
j04-115-00	A known quantity ( approx. 1 x 10-2 15mc ) of
j04-115-05	where noted to the contrary ) before lead
j06-018-02	the case of five of these examples
j06-030-04	group whose normal vertical
j06-030-08	rank as anomalous is the
j06-034-00	2 . Mechanisms . The majority of
j06-051-06	controlling , and orienting factors . The
j06-051-09	is beyond doubt . Yet in spite
j07-012-06	thus developed found ready application on a
k02-076-05	get to know the kind of life
k02-097-01	to decide about that for himself , I
k03-138-02	I 'm afraid , Prime Minister , you 're not going to like the
k03-157-05	talking-to . ' The Chancellor closed his eyes ,
k04-010-02	movement , Vittoria was separated from
k04-017-03	the answer . Disturbed by vague uneasiness , she
k04-103-04	stone quarries and their precious marble had been
k04-142-04	' Yes , signor , ' she faltered . ' On the other hand , ' he
k07-059a-05	creep down along her smooth muscles till he lost
k07-141-00	Oi , not yet , you oaf . What do you think my
k07-146-05	Just in time , erupted Charlie . If he 'd
k07-158-06	scared to be really in love .
k07-166-08	quite an erotic little beast ; can
l01-000-10	in one of the Channel Islands .
l01-023-06	and easy-going . He was easy meat for Pete .
l01-030-02	look around for some other
l01-050-07	seen to Dackson and his daughter .
l01-105-06	a poor and unpunctual cook . Normally
l01-111-04	Rose took one breath of the stagnant air .
l01-133-01	"and I 'd like her to come and live with us . """
l01-187-09	how shrewd he had been in discovering
l03-004-02	plexus , the vital nerve-centre which a long-ago
l04-026-02	thoughts elsewhere . Personally , he didn't care if it rained cats
l04-062-05	manner in which he had dispatched
l04-106-04	Hugh said morosely . ' Give him a chance , old chap .
l04-113-04	months now , and the whole lot still doesn't amount to
l04-124-04	shred of evidence to prove what happened .
l04-153-04	overwhelming . I spoke to a chap from the office of
l04-159-06	life . Also , logically , there 's nothing to show the
l04-170-05	A little man with thin brown hair and a
l04-174-03	voice which bore traces of a cockney accent .
l07-052-00	""" Why ? "" he asked again . "" I can tell by your voice that it means"
l07-065-03	As long as my suspicion remained in my head I could pretend
l07-111-05	in a loud tartan shirt and abbreviated
l07-111-08	boy . He settled me into the car
l07-131-03	before I got used to calling them
l07-172-06	with flocks of sailing boats which
l07-181-03	said , meaning it . He pressed the tip of my
l07-187-07	and there was a delicate iron staircase
m01-017-05	Dan . Dan was lying on a long bench in the
m01-038-07	First Stage in the Thetan pattern of conquest ,
m01-121-00	There is just a hope that we may uncover
m01-121-06	not have been entirely an objective suggestion
m01-125-10	a new and strange phenomenon .
m01-131-00	When he finally beckoned to them to enter , the action
m02-048-04	as arranged , but he consoled himself by
m02-069-08	weapons pronounced conventional .
m02-072-01	duties and his wife , in the manner of middle-brow
m02-075-02	craterlet on Face ( ours is an agricultural
m02-083-02	from stomach-ulcers . In the Back-Face tradition he
m02-095-08	which had grown up during the Moon's
m02-109-00	Stepping out in their white shorts , they looked glad enough
m03-006-06	about ? ' It was most certainly an eerie
m03-013-00	' Impressive , ' Lord Undertone said , gazing reverently
m03-062-01	with black , matted hair and a striking
m03-095-02	prepared for visitors . Mrs Caine said
m04-000-00	NO ONE has ever satisfactorily explained how a
m04-000-07	itself into orbit it did .
m04-007-09	Rev. Edwards .
m04-024-01	could not help wondering whether , now she
m04-024-03	little Dai was quite the man for her .
m04-072-00	The two-twenty to Llangrwl has failed to
m04-078-05	Cadwallader when his child mind grasped
m04-093-02	folded it , and glanced idly out of the
m04-107-09	dismay . Quietly she began to
m04-113-04	walking very dogged towards Llangrwl .
m04-123-04	he found was Morfydd's mam , working
m04-145-04	Commanding R.A.F. Station , Dinas , looked keenly at the
m04-145-05	Flying Officer who had burst so unceremoniously into his
m04-164-02	""" Did you see the indicator board ? "" "" Yes , sir . "" "" And"
m04-200-06	they could have measured up the road and
m06-048-07	heedlessly thrown down their souls .
m06-056-00	Haris had trampled on his . It was unthinkable !
m06-098-02	gasped Flor . ' Yes . We plan to attack the Heavy
m06-106-00	Motion there was , but motion without event - except
n01-031-06	particular area within its range . Geoffrey
n01-031-07	turned the scale slowly to cover the
n02-000-06	driven away , invited them casually to come to
n02-016-01	"casual tone , "" She 's not returning to her family . She 's"
n02-054-08	path fringed and shaded by citrus trees .
n02-114-04	island I needn't tell you that Sir John
n02-146-02	"said shortly . "" Personally I 've no more to say , so I suggest we get"
n02-146-05	leisurely fashion his few possessions into a ramshackle and
n02-151-07	man was , she thought impatiently ,
n03-064-02	of a mile and a half , came the yawl under her full
n03-066-04	yawl had rounded the rocky point instead of
n03-120-01	pushing at the stern , the yawl was soon
n04-031-02	write to those agents and try to get a flat in
n04-044-05	in the modern equivalent of frock-coat and sword .
n04-052-02	of the hotel . She greeted John , however , with less
n04-068-03	would have to leave the bar and either sit in
n04-100-03	"truth be embarrassing ? "" John sipped his double"
n04-107-02	He 'd never before met a pressman and
n04-114-05	"he said . "" Expense account . You 're a married"
n04-149-07	"Service matters . """
n04-213-03	but she could see that it no longer came naturally .
n04-213-06	though in peace time these happenings are few and
n04-218-00	This is the testing time for all . The affair blows up into
n04-218-08	usual and in fact had applied all the usual specifics
n06-100-01	man who 'd brought us into this business .
n06-123-07	got hotter as the day wore on and we rested
n06-123-08	gratefully by a small creek where we watered
n06-128-03	miles it led into a small canyon which
n06-169-00	""" They gives you the wind , "" said the Sodbuster"
n06-186-00	""" Yeah , "" said Dowd dubiously . "" 2Mebbe we 'd"
n06-186-01	"better . "" Surprisingly Dan Maffrey came in at"
n06-186-05	be the first time they 've held up a diggings
n06-201-01	with Dan Maffrey's aim to avenge himself
p01-155-07	canery and corruption , the growth of the dea-
p02-008-00	Gay went out to the waiting
p02-069-05	"Lilyan remonstrated . "" They want to be"
p02-076-07	corner talking animatedly to Simone .
p02-081-03	run upstairs to her room , knowing that
p02-090-00	The others were all dancing and
p02-101-03	not wanting to smoke but needing some action
p02-131-00	Now let him go and you won't have to wait
p02-144-08	her own surprise Gay felt no heartbreak ,
p03-004-03	thoughts . At one time she had
p03-029-06	had there not been some give and take
p03-047-08	Of course such as I couldn't afford
p03-087-03	"this blonde . "" "" Really ? "" Nigel cocked"
p03-103-03	""" You need your holiday , darling . I only"
p03-135-04	right , pet . I do need this leave . I 'm bad-tempered and
p03-142-05	"was over . "" Again her laughter trilled . "" Marriage"
p03-151-02	that particular problem isn't looming at
p03-158-05	"it , looking moodily beyond her . "" Perhaps it 's as"
p03-181-09	with some bitterness .
p03-189-01	They often had such a rendezvous , for
p06-042-01	of Philip lying in the other
p06-042-08	he put back his professional
p06-047-00	' I will leave you the necessary pre-
r02-013-03	coach . He fumed as he recol-
r02-038-00	' It 's not mine . I wasn't sitting there . ' She blinked
r02-060-04	bent wire loop into the lock and
r02-089-03	case into hiding between the do-it-yourself cupboard
r02-117-02	' You 're very irritable , anyway . ' ' I 'm NOT tired
r03-002-05	premature piece of frailty in an oxygen-
r03-030-03	to save the ten percent needed . Or so she
r03-053-02	the original colour of his own natural vowels ,
r03-096-02	could get quite a nice little semi-detached house in
r06-000-00	Vence is a sober spot , half way between small
r06-022-04	looked out of the windows at the weeping trees and the
r06-057-04	and beaches of earth pricked to blood by
r06-076-07	love house , the mad grandmother or the
r06-090-01	crowd and drove back to Vence .
r06-090-06	I had to explain the low , sharp and
r06-143-00	In the train going back to London I sat
